matchup_id,season,week,team_id,opponent_id,team_score,opponent_score,is_playoff,is_championship,matchup_type
176,2020,2,26,7,95.14,125.61,False,False,NONE
177,2020,2,16,11,91.2,122.79,False,False,NONE
178,2020,2,11,16,122.79,91.2,False,False,NONE
179,2020,2,25,17,110.34,130.47,False,False,NONE
180,2020,2,17,25,130.47,110.34,False,False,NONE
181,2020,3,4,7,102.4,140.22,False,False,NONE
182,2020,3,7,4,140.22,102.4,False,False,NONE
183,2020,3,12,16,126.53,67.25,False,False,NONE
184,2020,3,16,12,67.25,126.53,False,False,NONE
185,2020,3,1,25,95.98,145.47,False,False,NONE
186,2020,3,25,1,145.47,95.98,False,False,NONE
187,2020,3,9,11,109.09,85.79,False,False,NONE
188,2020,3,11,9,85.79,109.09,False,False,NONE
189,2020,3,26,17,109.68,126.36,False,False,NONE
190,2020,3,17,26,126.36,109.68,False,False,NONE
191,2020,4,16,25,50.71,146.61,False,False,NONE
192,2020,4,25,16,146.61,50.71,False,False,NONE
193,2020,4,11,4,105.84,95.69,False,False,NONE
194,2020,4,4,11,95.69,105.84,False,False,NONE
195,2020,4,17,7,95.99,121.04,False,False,NONE
196,2020,4,7,17,121.04,95.99,False,False,NONE
197,2020,4,9,12,125.03,99.59,False,False,NONE
198,2020,4,12,9,99.59,125.03,False,False,NONE
199,2020,4,26,1,64.3,79.55,False,False,NONE
200,2020,4,1,26,79.55,64.3,False,False,NONE
201,2020,5,11,17,112.07,89.12,False,False,NONE
202,2020,5,17,11,89.12,112.07,False,False,NONE
203,2020,5,16,9,103.9,98.41,False,False,NONE
204,2020,5,9,16,98.41,103.9,False,False,NONE
205,2020,5,25,26,85.44,114.42,False,False,NONE
206,2020,5,26,25,114.42,85.44,False,False,NONE
207,2020,5,4,12,90.39,95.87,False,False,NONE
208,2020,5,12,4,95.87,90.39,False,False,NONE
209,2020,5,7,1,112.85,110.86,False,False,NONE
210,2020,5,1,7,110.86,112.85,False,False,NONE
211,2020,6,26,12,98.04,96.49,False,False,NONE
212,2020,6,12,26,96.49,98.04,False,False,NONE
213,2020,6,1,4,86.49,109.46,False,False,NONE
214,2020,6,4,1,109.46,86.49,False,False,NONE
215,2020,6,7,16,67.64,102.63,False,False,NONE
216,2020,6,16,7,102.63,67.64,False,False,NONE
217,2020,6,25,11,94.93,69.04,False,False,NONE
218,2020,6,11,25,69.04,94.93,False,False,NONE
219,2020,6,17,9,74.56,121.95,False,False,NONE
220,2020,6,9,17,121.95,74.56,False,False,NONE
221,2020,7,4,26,56.79,71.22,False,False,NONE
222,2020,7,26,4,71.22,56.79,False,False,NONE
223,2020,7,16,1,115.12,133.4,False,False,NONE
224,2020,7,1,16,133.4,115.12,False,False,NONE
225,2020,7,11,7,63.65,107.73,False,False,NONE
226,2020,7,7,11,107.73,63.65,False,False,NONE
227,2020,7,9,25,114.71,137.74,False,False,NONE
228,2020,7,25,9,137.74,114.71,False,False,NONE
229,2020,7,12,17,121.94,88.15,False,False,NONE
230,2020,7,17,12,88.15,121.94,False,False,NONE
231,2020,8,26,16,84.31,96.89,False,False,NONE
232,2020,8,16,26,96.89,84.31,False,False,NONE
233,2020,8,1,11,103.6,90.02,False,False,NONE
234,2020,8,11,1,90.02,103.6,False,False,NONE
235,2020,8,7,9,129.12,79.46,False,False,NONE
236,2020,8,9,7,79.46,129.12,False,False,NONE
237,2020,8,25,12,76.05,57.61,False,False,NONE
238,2020,8,12,25,57.61,76.05,False,False,NONE
239,2020,8,17,4,106.51,91.83,False,False,NONE
240,2020,8,4,17,91.83,106.51,False,False,NONE
241,2020,9,11,26,109.56,93.89,False,False,NONE
242,2020,9,26,11,93.89,109.56,False,False,NONE
243,2020,9,9,16,90.95,86.08,False,False,NONE
244,2020,9,16,9,86.08,90.95,False,False,NONE
245,2020,9,1,17,119.77,100.0,False,False,NONE
246,2020,9,17,1,100.0,119.77,False,False,NONE
247,2020,9,12,4,100.26,88.89,False,False,NONE
248,2020,9,4,12,88.89,100.26,False,False,NONE
249,2020,9,7,25,103.28,99.54,False,False,NONE
250,2020,9,25,7,99.54,103.28,False,False,NONE
251,2020,10,9,1,64.36,82.51,False,False,NONE
